customer_id,name,home_country,risk_profile,avg_transaction_amount,created_at
35,Customer_35,Austria,low,61.11,2025-12-02 18:41:00
36,Customer_36,France,low,92.82,2025-02-08 11:12:00
37,Customer_37,Romania,low,62.19,2025-05-15 11:55:00
38,Customer_38,France,low,106.13,2025-09-04 08:41:00
39,Customer_39,Romania,medium,293.18,2025-04-06 14:31:00
40,Customer_40,Poland,low,60.1,2025-01-06 14:00:00
41,Customer_41,Austria,low,98.41,2025-08-10 14:44:00
42,Customer_42,Romania,low,68.67,2025-04-10 11:03:00
43,Customer_43,United Kingdom,low,26.1,2025-06-02 08:37:00
44,Customer_44,Poland,low,105.27,2025-03-02 16:05:00
45,Customer_45,Germany,low,26.8,2025-04-13 09:56:00
46,Customer_46,United Kingdom,low,79.45,2025-10-03 14:42:00
47,Customer_47,United Kingdom,low,51.64,2025-05-07 18:45:00
48,Customer_48,Belgium,low,59.58,2025-11-21 12:29:00
49,Customer_49,Belgium,medium,285.86,2025-01-15 17:36:00
50,Customer_50,France,low,41.32,2025-05-05 13:56:00
51,Customer_51,France,medium,161.3,2025-03-15 16:45:00
52,Customer_52,Netherlands,low,118.72,2025-11-17 08:42:00
53,Customer_53,Romania,low,86.34,2025-03-09 09:56:00
54,Customer_54,France,low,35.54,2025-05-20 11:45:00
55,Customer_55,Belgium,low,83.42,2025-05-17 15:16:00
56,Customer_56,Italy,low,62.36,2025-05-02 08:21:00
57,Customer_57,Germany,low,46.2,2025-12-15 16:45:00
58,Customer_58,Austria,low,31.19,2025-12-05 16:02:00
59,Customer_59,Belgium,low,34.81,2025-03-02 12:23:00
60,Customer_60,Italy,medium,126.22,2025-04-22 09:22:00
61,Customer_61,Romania,medium,169.4,2025-10-24 10:59:00
62,Customer_62,Spain,medium,294.77,2025-03-14 08:11:00
63,Customer_63,Belgium,medium,170.58,2025-11-28 19:51:00
64,Customer_64,Spain,low,98.74,2025-02-13 08:54:00
65,Customer_65,Poland,low,101.66,2025-08-12 12:52:00
66,Customer_66,Spain,low,86.0,2025-07-11 12:55:00
67,Customer_67,France,high,367.47,2025-11-17 14:43:00
68,Customer_68,Romania,low,22.76,2025-05-06 17:16:00
69,Customer_69,Italy,low,63.46,2025-12-26 13:27:00
70,Customer_70,United Kingdom,high,269.39,2025-10-07 12:02:00
71,Customer_71,Austria,low,112.56,2025-09-22 19:47:00
72,Customer_72,Spain,low,27.0,2025-11-11 17:20:00
73,Customer_73,France,low,50.03,2025-05-22 14:20:00
74,Customer_74,Austria,low,75.44,2025-04-14 18:24:00
75,Customer_75,Germany,low,50.09,2025-09-27 08:19:00
76,Customer_76,Netherlands,low,98.58,2025-10-21 13:29:00
77,Customer_77,Poland,low,41.37,2025-08-26 20:47:00
78,Customer_78,Germany,low,48.38,2025-11-21 17:21:00
79,Customer_79,France,medium,245.25,2025-11-10 11:51:00
80,Customer_80,Spain,low,24.62,2025-08-20 20:04:00
81,Customer_81,Poland,low,82.98,2025-04-23 19:24:00
82,Customer_82,Poland,low,34.76,2025-12-01 20:55:00
83,Customer_83,France,medium,128.15,2025-12-17 15:03:00
84,Customer_84,Romania,low,104.83,2025-08-05 20:29:00
85,Customer_85,Romania,high,557.27,2025-08-20 19:57:00
86,Customer_86,Romania,low,110.69,2025-08-06 19:55:00
87,Customer_87,Poland,low,95.18,2025-11-09 20:49:00
88,Customer_88,Romania,low,43.92,2025-08-03 19:18:00
89,Customer_89,Spain,low,51.97,2025-09-03 10:09:00
90,Customer_90,Spain,low,35.28,2025-04-03 14:26:00
91,Customer_91,Belgium,low,61.58,2025-04-27 14:24:00
92,Customer_92,United Kingdom,medium,84.3,2025-10-13 15:00:00
93,Customer_93,Belgium,low,59.0,2025-07-18 19:47:00
94,Customer_94,Romania,medium,277.52,2025-08-08 12:27:00
95,Customer_95,Poland,low,53.61,2025-11-26 14:46:00
96,Customer_96,Germany,medium,282.3,2025-10-18 08:58:00
97,Customer_97,Austria,low,86.3,2025-02-21 14:08:00
98,Customer_98,Poland,low,46.02,2025-06-07 15:20:00
99,Customer_99,Belgium,medium,163.41,2025-07-09 09:30:00
100,Customer_100,Italy,low,25.21,2025-06-08 18:04:00
101,Customer_101,Italy,medium,288.91,2025-04-27 08:39:00
102,Customer_102,Germany,low,67.36,2025-02-19 11:29:00
103,Customer_103,Netherlands,medium,116.91,2025-10-24 19:07:00
104,Customer_104,Germany,high,264.86,2025-01-10 17:43:00
105,Customer_105,Austria,low,91.5,2025-02-19 19:53:00
106,Customer_106,Spain,low,97.25,2025-11-20 20:07:00
107,Customer_107,United Kingdom,medium,156.38,2025-07-22 13:04:00
108,Customer_108,Romania,low,21.27,2025-07-27 15:06:00
109,Customer_109,Austria,high,581.35,2025-08-23 10:27:00
110,Customer_110,Germany,low,116.55,2025-05-20 20:58:00
111,Customer_111,Romania,medium,182.27,2025-12-19 12:20:00
112,Customer_112,Spain,medium,99.07,2025-08-08 20:29:00
113,Customer_113,United Kingdom,low,57.9,2025-01-16 13:11:00
114,Customer_114,Poland,low,99.78,2025-06-09 17:44:00
115,Customer_115,Netherlands,low,71.66,2025-04-03 11:46:00
116,Customer_116,Austria,low,95.82,2025-12-16 18:45:00
117,Customer_117,Poland,low,21.72,2025-05-08 14:44:00
118,Customer_118,Spain,low,78.16,2025-08-18 16:22:00
119,Customer_119,Austria,high,530.23,2025-06-23 15:17:00
120,Customer_120,Netherlands,low,32.07,2025-04-11 09:47:00
121,Customer_121,Romania,high,614.1,2025-04-07 19:30:00
122,Customer_122,Netherlands,low,117.66,2025-09-20 12:06:00
123,Customer_123,Spain,low,56.09,2025-05-01 19:34:00
124,Customer_124,Germany,low,117.43,2025-09-10 19:08:00
125,Customer_125,Poland,low,21.23,2025-05-16 15:28:00
126,Customer_126,Belgium,low,25.14,2025-08-04 09:25:00
127,Customer_127,Poland,low,82.94,2025-01-05 10:51:00
128,Customer_128,United Kingdom,medium,98.74,2025-04-04 16:48:00
129,Customer_129,Austria,low,99.07,2025-04-25 16:24:00
130,Customer_130,Poland,medium,145.42,2025-10-14 12:36:00
131,Customer_131,United Kingdom,low,116.01,2025-02-25 11:40:00
132,Customer_132,Spain,low,28.12,2025-04-06 16:04:00
133,Customer_133,Germany,low,65.05,2025-10-16 12:02:00
134,Customer_134,Spain,low,48.27,2025-08-03 18:14:00
135,Customer_135,Netherlands,medium,217.51,2025-11-26 11:27:00
136,Customer_136,France,low,84.76,2025-05-27 10:04:00
137,Customer_137,Italy,low,50.76,2025-12-27 17:58:00
138,Customer_138,Netherlands,low,66.87,2025-05-23 14:17:00
139,Customer_139,Romania,low,63.78,2025-10-02 14:47:00
140,Customer_140,Belgium,low,22.59,2025-04-22 17:37:00
141,Customer_141,Italy,high,603.37,2025-05-19 08:48:00
142,Customer_142,Germany,low,85.15,2025-05-06 17:27:00
143,Customer_143,Poland,high,482.01,2025-07-11 13:42:00
144,Customer_144,France,medium,152.56,2025-12-16 12:42:00
145,Customer_145,Austria,medium,201.02,2025-08-03 13:16:00
146,Customer_146,Belgium,low,97.25,2025-09-27 08:42:00
147,Customer_147,Romania,low,25.42,2025-09-12 17:48:00
148,Customer_148,Poland,low,96.0,2025-04-09 16:08:00
149,Customer_149,Netherlands,low,89.83,2025-02-01 18:38:00
150,Customer_150,Spain,low,51.08,2025-01-18 14:05:00
151,Customer_151,Spain,high,747.76,2025-08-04 18:53:00
152,Customer_152,Germany,low,91.66,2025-09-23 12:26:00
153,Customer_153,Poland,high,346.24,2025-09-05 14:12:00
154,Customer_154,United Kingdom,low,107.93,2025-02-09 20:50:00
155,Customer_155,Austria,low,98.77,2025-05-27 08:18:00
156,Customer_156,Netherlands,medium,207.58,2025-11-16 10:28:00
157,Customer_157,Romania,low,53.24,2025-09-13 15:59:00
158,Customer_158,Belgium,medium,295.77,2025-04-19 14:14:00
159,Customer_159,Austria,low,94.47,2025-12-26 14:24:00
160,Customer_160,Germany,low,23.7,2025-09-19 13:55:00
161,Customer_161,France,medium,176.87,2025-09-15 08:46:00
162,Customer_162,Germany,low,85.48,2025-03-03 15:50:00
163,Customer_163,Netherlands,low,89.27,2025-11-03 13:54:00
164,Customer_164,Romania,low,51.67,2025-12-25 15:55:00
165,Customer_165,Romania,low,26.84,2025-11-22 12:14:00
166,Customer_166,France,low,29.84,2025-11-23 09:28:00
167,Customer_167,Germany,low,110.34,2025-01-11 20:03:00
168,Customer_168,Netherlands,low,63.07,2025-04-17 14:36:00
169,Customer_169,Germany,low,27.9,2025-07-20 18:15:00
170,Customer_170,Poland,medium,111.49,2025-08-21 12:29:00
171,Customer_171,Netherlands,low,109.89,2025-08-10 18:34:00
172,Customer_172,Germany,low,114.52,2025-10-10 18:27:00
173,Customer_173,Netherlands,low,50.21,2025-07-28 15:06:00
174,Customer_174,Spain,low,55.9,2025-05-23 12:01:00
175,Customer_175,Austria,low,76.59,2025-11-25 19:03:00
176,Customer_176,United Kingdom,low,103.28,2025-05-25 20:14:00
177,Customer_177,United Kingdom,medium,128.18,2025-04-20 12:43:00
178,Customer_178,Germany,low,110.34,2025-11-02 12:50:00
179,Customer_179,Poland,low,56.49,2025-03-03 12:20:00
180,Customer_180,Austria,low,33.22,2025-09-12 16:32:00
181,Customer_181,Netherlands,medium,136.53,2025-08-26 12:47:00
182,Customer_182,Belgium,medium,183.03,2025-02-05 20:14:00
183,Customer_183,Austria,high,682.75,2025-06-03 20:25:00
184,Customer_184,Italy,low,32.36,2025-06-22 19:43:00
185,Customer_185,Netherlands,low,102.24,2025-06-04 18:14:00
186,Customer_186,Poland,low,108.42,2025-09-11 17:14:00
187,Customer_187,France,low,66.43,2025-12-10 18:26:00
188,Customer_188,France,low,114.63,2025-05-16 09:06:00
189,Customer_189,Spain,medium,109.85,2025-08-12 18:47:00
190,Customer_190,Romania,low,94.23,2025-03-14 18:06:00
191,Customer_191,Poland,low,113.91,2025-05-02 19:23:00
192,Customer_192,Spain,low,115.06,2025-06-04 18:23:00
193,Customer_193,Romania,medium,221.86,2025-01-13 12:12:00
194,Customer_194,France,medium,261.32,2025-02-22 11:41:00
195,Customer_195,United Kingdom,high,230.35,2025-06-08 10:50:00
196,Customer_196,United Kingdom,low,102.98,2025-09-07 17:13:00
197,Customer_197,Spain,low,34.76,2025-10-01 12:54:00
198,Customer_198,Germany,high,524.13,2025-03-04 18:55:00
199,Customer_199,Italy,low,55.82,2025-04-19 13:01:00
200,Customer_200,Germany,low,32.68,2025-07-17 09:47:00
201,Customer_201,France,low,97.8,2025-09-19 09:28:00
202,Customer_202,Romania,low,81.51,2025-12-26 18:33:00
203,Customer_203,Netherlands,low,116.4,2025-01-16 14:27:00
204,Customer_204,France,low,110.97,2025-02-03 13:38:00
205,Customer_205,Germany,low,47.5,2025-11-19 16:45:00
206,Customer_206,Belgium,low,79.74,2025-05-15 16:38:00
207,Customer_207,Austria,low,90.18,2025-11-21 20:35:00
208,Customer_208,Spain,low,108.81,2025-07-11 15:25:00
209,Customer_209,Austria,low,51.25,2025-06-22 12:23:00
210,Customer_210,Germany,low,67.43,2025-02-27 09:05:00
211,Customer_211,Austria,low,93.88,2025-03-18 08:37:00
212,Customer_212,Romania,low,87.0,2025-07-12 18:48:00
213,Customer_213,Austria,medium,238.63,2025-05-20 12:22:00
214,Customer_214,France,low,41.27,2025-11-16 11:54:00
215,Customer_215,France,low,75.63,2025-02-25 12:36:00
216,Customer_216,Spain,medium,265.93,2025-10-20 18:41:00
217,Customer_217,Romania,low,112.91,2025-12-09 08:11:00
218,Customer_218,Netherlands,low,50.9,2025-06-12 08:11:00
219,Customer_219,Germany,low,60.08,2025-03-24 18:01:00
220,Customer_220,France,low,41.51,2025-07-15 13:10:00
221,Customer_221,Belgium,low,52.44,2025-10-20 09:56:00
222,Customer_222,Italy,low,95.44,2025-01-22 09:17:00
223,Customer_223,Poland,low,68.57,2025-08-14 12:13:00
224,Customer_224,Romania,low,62.99,2025-05-22 18:37:00
225,Customer_225,Poland,low,50.84,2025-04-13 17:03:00
226,Customer_226,Italy,low,114.53,2025-03-25 12:18:00
227,Customer_227,Belgium,low,69.74,2025-07-06 10:24:00
228,Customer_228,Romania,low,70.03,2025-11-26 13:04:00
229,Customer_229,Austria,medium,89.31,2025-01-15 09:55:00
230,Customer_230,Belgium,low,77.34,2025-12-21 14:18:00
231,Customer_231,France,low,116.62,2025-03-26 17:29:00
232,Customer_232,Belgium,low,104.45,2025-04-14 17:25:00
233,Customer_233,Romania,low,107.05,2025-12-11 11:21:00
234,Customer_234,Germany,low,83.32,2025-09-17 11:57:00
235,Customer_235,Belgium,low,115.82,2025-11-27 10:15:00
236,Customer_236,France,low,39.73,2025-10-05 20:48:00
237,Customer_237,France,low,97.28,2025-08-15 20:36:00
238,Customer_238,United Kingdom,low,112.42,2025-10-21 18:39:00
239,Customer_239,Belgium,medium,217.99,2025-03-15 09:30:00
240,Customer_240,Poland,low,99.63,2025-10-02 13:32:00
241,Customer_241,France,low,65.19,2025-01-12 12:04:00
242,Customer_242,France,low,70.71,2025-08-19 16:50:00
243,Customer_243,Italy,low,100.98,2025-11-07 13:38:00
244,Customer_244,Poland,low,115.77,2025-08-04 20:57:00
245,Customer_245,Belgium,high,250.6,2025-11-06 08:15:00
246,Customer_246,Poland,high,514.44,2025-10-06 13:23:00
247,Customer_247,Netherlands,low,97.45,2025-11-20 08:50:00
248,Customer_248,Belgium,low,29.45,2025-11-13 12:16:00
249,Customer_249,United Kingdom,medium,153.34,2025-10-22 10:58:00
250,Customer_250,Belgium,low,85.61,2025-11-13 10:38:00
251,Customer_251,France,low,57.67,2025-06-27 10:42:00
252,Customer_252,Romania,low,87.05,2025-09-12 08:23:00
253,Customer_253,Netherlands,low,41.42,2025-08-07 11:08:00
254,Customer_254,Germany,low,104.44,2025-02-17 20:34:00
255,Customer_255,Romania,low,53.68,2025-10-05 17:24:00
256,Customer_256,Germany,low,103.13,2025-10-26 10:46:00
257,Customer_257,Poland,low,56.43,2025-12-08 15:39:00
258,Customer_258,Netherlands,medium,252.44,2025-04-18 11:19:00
259,Customer_259,Poland,medium,122.68,2025-11-19 15:29:00
260,Customer_260,Netherlands,medium,190.64,2025-07-06 11:51:00
261,Customer_261,United Kingdom,low,45.0,2025-11-16 13:35:00
262,Customer_262,France,low,71.59,2025-02-10 09:48:00
263,Customer_263,Germany,low,110.53,2025-03-27 14:05:00
264,Customer_264,Spain,medium,274.62,2025-01-14 08:25:00
265,Customer_265,Romania,low,58.62,2025-02-12 11:01:00
266,Customer_266,Belgium,medium,264.62,2025-11-11 20:09:00
267,Customer_267,Germany,low,111.74,2025-08-23 10:48:00
268,Customer_268,Poland,low,20.53,2025-02-01 12:13:00
269,Customer_269,Germany,low,92.72,2025-09-14 09:49:00
270,Customer_270,Netherlands,low,32.18,2025-04-14 18:50:00
271,Customer_271,United Kingdom,low,31.09,2025-08-20 16:01:00
272,Customer_272,Romania,low,91.85,2025-05-14 08:39:00
273,Customer_273,Belgium,low,61.66,2025-11-22 09:33:00
274,Customer_274,Belgium,low,72.61,2025-09-26 16:35:00
275,Customer_275,Italy,low,67.01,2025-11-13 13:16:00
276,Customer_276,Italy,low,26.76,2025-04-24 18:40:00
277,Customer_277,France,medium,241.74,2025-06-05 08:22:00
278,Customer_278,Romania,low,84.28,2025-11-15 19:30:00
279,Customer_279,Germany,medium,93.88,2025-08-02 12:12:00
280,Customer_280,Italy,medium,274.87,2025-06-10 16:25:00
281,Customer_281,Romania,low,23.66,2025-11-07 12:22:00
282,Customer_282,Italy,medium,153.02,2025-02-26 13:27:00
283,Customer_283,Austria,low,109.46,2025-07-11 10:31:00
284,Customer_284,Poland,low,99.73,2025-05-26 09:46:00
285,Customer_285,Austria,low,80.25,2025-03-18 12:20:00
286,Customer_286,France,low,86.09,2025-05-15 17:45:00
287,Customer_287,Austria,low,64.39,2025-08-02 19:55:00
288,Customer_288,Belgium,low,63.49,2025-11-26 08:04:00
289,Customer_289,Austria,low,100.11,2025-11-06 08:09:00
290,Customer_290,United Kingdom,low,63.82,2025-03-03 11:49:00
291,Customer_291,Belgium,low,114.95,2025-01-20 10:43:00
292,Customer_292,Poland,medium,161.84,2025-02-19 10:33:00
293,Customer_293,Belgium,low,84.96,2025-04-04 08:47:00
294,Customer_294,Germany,low,58.7,2025-09-04 12:49:00
295,Customer_295,Netherlands,low,41.46,2025-10-10 19:58:00
296,Customer_296,Poland,low,33.57,2025-02-15 10:57:00
297,Customer_297,Poland,high,686.31,2025-06-22 13:45:00
298,Customer_298,France,low,49.04,2025-05-28 10:45:00
299,Customer_299,Germany,medium,191.93,2025-02-07 20:08:00
300,Customer_300,Spain,medium,85.78,2025-09-19 13:29:00
301,Customer_301,Romania,low,108.42,2025-02-10 14:45:00
302,Customer_302,Poland,low,96.92,2025-10-03 10:20:00
303,Customer_303,France,low,88.01,2025-06-05 20:35:00
304,Customer_304,United Kingdom,low,116.63,2025-07-17 08:53:00
305,Customer_305,France,low,50.41,2025-03-11 19:14:00
306,Customer_306,Belgium,medium,194.16,2025-05-28 09:16:00
307,Customer_307,Spain,low,75.08,2025-03-21 12:39:00
308,Customer_308,Romania,low,84.1,2025-10-19 10:10:00
309,Customer_309,United Kingdom,low,80.51,2025-10-02 08:05:00
310,Customer_310,Italy,medium,249.62,2025-05-21 11:49:00
311,Customer_311,United Kingdom,low,83.9,2025-08-21 16:18:00
312,Customer_312,Netherlands,low,100.47,2025-11-13 12:29:00
313,Customer_313,France,low,35.81,2025-07-16 15:13:00
314,Customer_314,Belgium,low,51.26,2025-12-11 19:55:00
315,Customer_315,Belgium,high,278.46,2025-06-17 16:06:00
316,Customer_316,Belgium,low,32.25,2025-08-08 10:06:00
317,Customer_317,Italy,low,58.41,2025-10-14 11:55:00
318,Customer_318,Germany,medium,285.43,2025-12-11 11:48:00
319,Customer_319,Germany,low,71.47,2025-08-10 15:01:00
320,Customer_320,France,medium,191.2,2025-04-07 17:22:00
321,Customer_321,Italy,low,69.49,2025-11-22 15:18:00
322,Customer_322,Romania,low,30.75,2025-03-09 19:23:00
323,Customer_323,Austria,low,60.06,2025-10-18 11:23:00
324,Customer_324,Romania,low,58.63,2025-08-25 16:17:00
325,Customer_325,United Kingdom,low,31.88,2025-02-13 13:50:00
326,Customer_326,Belgium,low,56.56,2025-03-07 17:32:00
327,Customer_327,Austria,low,24.53,2025-03-23 13:51:00
328,Customer_328,Poland,low,34.89,2025-09-05 13:59:00
329,Customer_329,United Kingdom,low,59.3,2025-10-24 12:37:00
330,Customer_330,Belgium,low,70.97,2025-08-23 17:19:00
331,Customer_331,Poland,medium,161.04,2025-11-04 14:37:00
332,Customer_332,Netherlands,medium,239.57,2025-12-21 08:38:00
333,Customer_333,Poland,low,85.56,2025-10-19 11:46:00
334,Customer_334,Italy,low,37.05,2025-11-24 17:49:00
335,Customer_335,Austria,low,88.07,2025-01-19 19:07:00
336,Customer_336,Spain,low,51.37,2025-03-14 19:13:00
337,Customer_337,Austria,low,81.15,2025-08-28 19:46:00
338,Customer_338,Italy,low,71.87,2025-09-11 18:30:00
339,Customer_339,Romania,low,115.67,2025-08-18 13:34:00
340,Customer_340,Belgium,low,106.77,2025-11-21 20:44:00
341,Customer_341,Netherlands,low,39.23,2025-04-09 16:19:00
342,Customer_342,Spain,medium,296.1,2025-05-23 11:44:00
343,Customer_343,Poland,low,54.88,2025-12-09 12:07:00
344,Customer_344,United Kingdom,low,57.97,2025-07-27 13:49:00
345,Customer_345,Germany,low,48.76,2025-12-03 13:59:00
346,Customer_346,Poland,low,94.73,2025-04-07 16:17:00
347,Customer_347,Romania,low,33.73,2025-10-24 17:15:00
348,Customer_348,Spain,low,110.52,2025-04-21 11:03:00
349,Customer_349,France,low,91.74,2025-02-22 20:08:00
350,Customer_350,Italy,high,786.75,2025-03-14 18:59:00
351,Customer_351,Poland,low,39.95,2025-05-11 12:41:00
352,Customer_352,Italy,medium,99.68,2025-10-08 16:47:00
353,Customer_353,Italy,medium,118.51,2025-03-02 14:50:00
354,Customer_354,Poland,low,94.9,2025-05-02 08:19:00
355,Customer_355,United Kingdom,low,112.85,2025-06-10 15:41:00
356,Customer_356,Romania,low,108.93,2025-03-28 16:29:00
357,Customer_357,Netherlands,low,31.26,2025-03-24 15:41:00
358,Customer_358,Netherlands,low,21.41,2025-06-26 12:36:00
359,Customer_359,Spain,low,105.61,2025-07-27 14:32:00
360,Customer_360,Belgium,low,86.93,2025-03-05 15:20:00
361,Customer_361,Spain,low,58.36,2025-08-25 12:21:00
362,Customer_362,Netherlands,low,77.29,2025-05-21 13:44:00
363,Customer_363,Spain,low,31.82,2025-05-06 14:43:00
364,Customer_364,Romania,medium,275.32,2025-05-23 09:40:00
365,Customer_365,Netherlands,low,42.08,2025-03-16 10:29:00
366,Customer_366,United Kingdom,low,90.19,2025-08-25 16:51:00
367,Customer_367,Spain,medium,229.68,2025-10-28 20:05:00
368,Customer_368,Romania,low,90.38,2025-02-19 09:03:00
369,Customer_369,Romania,medium,124.47,2025-09-05 10:20:00
370,Customer_370,Romania,low,88.03,2025-12-19 15:05:00
371,Customer_371,Romania,low,25.56,2025-03-17 14:29:00
372,Customer_372,United Kingdom,low,66.24,2025-05-24 08:25:00
373,Customer_373,Netherlands,medium,244.08,2025-10-03 08:27:00
374,Customer_374,Belgium,low,74.12,2025-01-03 15:02:00
375,Customer_375,Netherlands,low,96.9,2025-11-24 18:26:00
376,Customer_376,Belgium,high,429.49,2025-07-13 09:43:00
377,Customer_377,Romania,low,106.03,2025-02-06 16:25:00
378,Customer_378,Romania,low,117.87,2025-01-25 08:19:00
379,Customer_379,Poland,low,74.44,2025-09-13 11:15:00
380,Customer_380,Poland,low,47.56,2025-12-25 09:02:00
381,Customer_381,Austria,low,113.62,2025-01-08 11:04:00
382,Customer_382,France,low,64.64,2025-11-23 08:15:00
383,Customer_383,Italy,low,43.43,2025-04-25 20:03:00
384,Customer_384,Germany,low,48.93,2025-12-19 13:36:00
385,Customer_385,United Kingdom,medium,260.04,2025-04-10 10:42:00
386,Customer_386,Romania,low,50.05,2025-01-18 17:56:00
387,Customer_387,Germany,low,62.72,2025-08-02 13:41:00
388,Customer_388,Austria,medium,150.12,2025-07-14 10:19:00
389,Customer_389,Austria,low,73.79,2025-04-28 11:19:00
390,Customer_390,Germany,medium,281.24,2025-09-14 14:35:00
391,Customer_391,Romania,low,44.29,2025-04-11 18:05:00
392,Customer_392,Poland,medium,100.34,2025-12-27 11:03:00
393,Customer_393,Netherlands,low,80.5,2025-01-28 09:12:00
394,Customer_394,United Kingdom,low,75.89,2025-08-07 13:19:00
395,Customer_395,Italy,low,39.0,2025-12-04 19:48:00
396,Customer_396,Poland,medium,233.04,2025-12-07 14:58:00
397,Customer_397,Spain,low,97.55,2025-07-15 16:41:00
398,Customer_398,Belgium,low,55.96,2025-08-15 09:51:00
399,Customer_399,Poland,medium,150.45,2025-04-12 13:26:00
400,Customer_400,Italy,low,42.13,2025-03-01 12:35:00
401,Customer_401,United Kingdom,low,61.76,2025-03-07 13:14:00
402,Customer_402,Austria,low,44.57,2025-09-21 18:21:00
403,Customer_403,Netherlands,medium,187.5,2025-12-21 19:31:00
404,Customer_404,Poland,low,99.5,2025-03-05 19:34:00
405,Customer_405,Poland,low,108.94,2025-11-02 16:02:00
406,Customer_406,France,medium,227.01,2025-01-14 10:53:00
407,Customer_407,Spain,low,35.1,2025-04-17 15:23:00
408,Customer_408,Italy,low,86.68,2025-10-16 18:31:00
409,Customer_409,Italy,low,75.16,2025-01-01 16:46:00
410,Customer_410,Netherlands,low,48.67,2025-09-27 19:43:00
411,Customer_411,Austria,medium,280.15,2025-02-04 16:09:00
412,Customer_412,Spain,low,72.65,2025-06-09 20:25:00
413,Customer_413,France,low,60.6,2025-10-08 19:14:00
414,Customer_414,Netherlands,low,104.79,2025-11-28 18:48:00
415,Customer_415,Italy,low,57.93,2025-09-16 08:40:00
416,Customer_416,Italy,low,28.27,2025-07-21 20:21:00
417,Customer_417,United Kingdom,high,784.3,2025-09-02 11:13:00
418,Customer_418,United Kingdom,low,24.66,2025-02-22 12:57:00
419,Customer_419,Romania,low,23.29,2025-06-01 11:37:00
420,Customer_420,Germany,medium,236.8,2025-07-03 12:10:00
421,Customer_421,United Kingdom,low,103.47,2025-07-22 16:21:00
422,Customer_422,Austria,medium,110.79,2025-12-24 09:32:00
423,Customer_423,Belgium,low,63.71,2025-02-11 17:49:00
424,Customer_424,United Kingdom,high,438.02,2025-06-01 18:17:00
425,Customer_425,Poland,low,55.58,2025-07-14 10:43:00
426,Customer_426,United Kingdom,low,28.57,2025-10-10 20:15:00
427,Customer_427,France,low,35.42,2025-12-26 18:09:00
428,Customer_428,Austria,low,30.66,2025-01-10 15:23:00
429,Customer_429,Netherlands,low,28.73,2025-07-15 16:35:00
430,Customer_430,Romania,low,22.63,2025-06-18 09:38:00
431,Customer_431,United Kingdom,medium,270.02,2025-01-10 14:24:00
432,Customer_432,France,low,75.95,2025-04-19 16:10:00
433,Customer_433,Austria,low,46.89,2025-05-16 10:04:00
434,Customer_434,Germany,low,62.11,2025-08-26 09:23:00
435,Customer_435,Netherlands,medium,238.6,2025-08-20 17:12:00
436,Customer_436,Poland,low,50.47,2025-07-11 17:24:00
437,Customer_437,Belgium,low,63.06,2025-11-20 10:19:00
438,Customer_438,Belgium,low,89.53,2025-08-11 10:25:00
439,Customer_439,Belgium,low,89.5,2025-08-19 20:15:00
440,Customer_440,Belgium,low,101.65,2025-07-12 09:59:00
441,Customer_441,United Kingdom,low,119.73,2025-03-22 20:35:00
