card_id,customer_id,card_type,card_status,daily_limit
90106,3361,credit,flagged,1500
90107,2729,debit,active,3000
90108,4511,credit,active,500
90109,1479,debit,active,5000
90110,1066,debit,active,500
90111,3937,debit,active,500
90112,2671,credit,flagged,1000
90113,4849,debit,active,3000
90114,4636,credit,active,5000
90115,4072,debit,active,500
90116,2062,debit,active,5000
90117,2968,credit,active,500
90118,3883,credit,active,500
90119,3499,debit,active,1000
90120,4440,debit,active,500
90121,2656,debit,active,1000
90122,4318,credit,active,500
90123,1230,debit,active,1000
90124,30,debit,active,3000
90125,2957,credit,active,1500
90126,548,credit,active,3000
90127,1127,debit,active,1500
90128,3325,credit,active,3000
90129,2618,debit,active,1500
90130,1402,credit,active,5000
90131,3665,credit,active,500
90132,1883,credit,active,5000
90133,2799,credit,active,1000
90134,1653,debit,active,1500
90135,4159,credit,active,1000
90136,4550,debit,active,500
90137,3492,debit,active,1500
90138,2750,credit,flagged,1000
90139,1877,debit,active,500
90140,2195,credit,active,500
90141,3771,debit,active,500
90142,876,credit,active,3000
90143,1084,debit,active,1500
90144,604,debit,active,5000
90145,1268,credit,active,1000
90146,1224,credit,active,1500
90147,4714,debit,active,5000
90148,2790,debit,active,500
90149,2816,credit,active,500
90150,634,credit,active,5000
90151,3635,debit,active,1000
90152,159,credit,active,3000
90153,2480,debit,blocked,1500
90154,1504,credit,active,3000
90155,1952,credit,active,1000
90156,2834,debit,active,5000
90157,1948,debit,active,5000
90158,3849,credit,active,3000
90159,3778,credit,active,1500
90160,2434,debit,active,1000
90161,2807,credit,active,3000
90162,4251,credit,active,3000
90163,2965,credit,active,3000
90164,2519,debit,active,500
90165,1284,debit,active,1000
90166,2214,debit,active,1000
90167,2401,credit,active,3000
90168,415,debit,active,5000
90169,2352,debit,active,3000
90170,2903,credit,active,3000
90171,1045,credit,active,3000
90172,3129,debit,active,1500
90173,4866,debit,active,1000
90174,3380,debit,active,500
90175,2199,debit,active,1500
90176,1215,credit,active,500
90177,3770,debit,active,3000
90178,2546,debit,active,1500
90179,3450,debit,active,500
90180,4274,credit,active,5000
90181,1825,debit,flagged,5000
90182,4322,credit,active,1500
90183,1341,debit,active,1000
90184,2647,credit,active,3000
90185,3905,debit,flagged,1000
90186,4876,debit,active,1000
90187,3534,debit,active,3000
90188,1936,credit,active,500
90189,1662,debit,active,500
90190,4708,debit,active,500
90191,3542,credit,active,3000
90192,554,credit,active,3000
90193,4123,credit,active,1500
90194,2606,credit,active,500
90195,2328,debit,active,500
90196,3282,credit,active,500
90197,3547,credit,flagged,1500
90198,4677,debit,active,1500
90199,1894,credit,active,1500
90200,2618,debit,active,5000
90201,1501,credit,active,3000
90202,4571,debit,active,1000
90203,2033,debit,active,1000
90204,162,credit,active,1500
90205,2037,debit,active,1000
90206,3467,credit,active,1000
90207,1250,credit,active,1500
90208,178,credit,active,3000
90209,1289,debit,active,1500
90210,368,credit,active,3000
90211,395,debit,active,1000
90212,2676,debit,active,3000
90213,736,credit,flagged,1500
90214,4378,credit,active,5000
90215,2186,debit,active,1000
90216,2451,credit,active,500
90217,645,debit,active,1500
90218,718,debit,active,5000
90219,292,credit,active,500
90220,4804,debit,active,1500
90221,175,credit,active,1000
90222,2541,credit,active,500
90223,3854,debit,active,3000
90224,2573,credit,active,500
90225,3214,credit,active,1000
90226,4219,debit,flagged,3000
90227,2016,debit,active,3000
90228,986,credit,active,500
90229,4395,credit,active,3000
90230,1946,credit,active,500
90231,3754,credit,active,1500
90232,341,credit,active,1500
90233,4974,credit,active,1500
90234,3441,credit,active,500
90235,2508,debit,active,3000
90236,197,debit,active,5000
90237,311,debit,active,1500
90238,3421,debit,active,1000
90239,4915,debit,active,5000
90240,4297,debit,active,1000
90241,314,credit,active,3000
90242,939,credit,active,5000
90243,4285,debit,active,5000
90244,3876,credit,active,1500
90245,3445,debit,blocked,500
90246,4844,credit,active,3000
90247,4562,debit,active,1000
90248,4293,debit,active,1000
90249,4000,debit,active,5000
90250,920,credit,active,1000
90251,3753,debit,active,1500
90252,146,credit,active,500
90253,4371,debit,active,3000
90254,4946,credit,flagged,5000
90255,4903,credit,active,1500
90256,2840,credit,active,1000
90257,3373,credit,active,1500
90258,3175,credit,active,500
90259,3562,credit,active,3000
90260,3682,credit,active,5000
90261,2766,credit,active,500
90262,3482,credit,active,500
90263,2877,credit,active,1000
90264,2488,debit,active,500
90265,4127,debit,active,3000
90266,1717,debit,active,500
90267,1104,credit,active,1500
90268,3511,credit,active,1000
90269,1968,credit,active,3000
90270,1983,debit,active,500
90271,3101,credit,active,3000
90272,887,debit,active,500
90273,3041,credit,active,1000
90274,104,debit,active,500
90275,1135,credit,flagged,1500
90276,2761,credit,active,500
90277,2803,credit,active,500
90278,4156,debit,active,5000
90279,4511,debit,active,3000
90280,3289,credit,active,5000
90281,3919,debit,active,500
90282,3210,debit,active,1500
90283,2038,debit,active,500
90284,226,debit,active,1500
90285,1831,credit,active,1500
90286,1852,debit,active,1500
90287,872,credit,blocked,5000
90288,3382,credit,blocked,3000
90289,3175,debit,active,3000
90290,1595,credit,active,5000
90291,3094,debit,active,1000
90292,3706,credit,active,500
90293,35,debit,active,500
90294,1063,debit,active,1500
90295,320,credit,active,3000
90296,3700,debit,active,500
90297,3023,debit,active,500
90298,4232,debit,active,5000
90299,99,credit,active,3000
90300,3534,debit,active,500
90301,1473,debit,active,3000
90302,4319,credit,active,3000
90303,276,credit,active,3000
90304,680,credit,active,3000
90305,2646,credit,active,1000
90306,122,debit,active,1500
90307,4550,debit,active,5000
90308,3219,debit,active,1000
90309,3781,debit,active,1500
90310,3007,debit,active,500
90311,901,debit,active,3000
90312,3119,debit,active,500
90313,4951,debit,active,3000
90314,53,credit,active,1500
90315,3721,debit,active,5000
90316,1017,debit,active,5000
90317,1026,credit,active,3000
90318,4910,debit,active,3000
90319,3353,debit,active,500
90320,1806,credit,active,500
90321,1623,debit,active,500
90322,4607,debit,active,1500
90323,704,debit,active,500
90324,3645,debit,active,3000
90325,316,credit,active,5000
90326,2252,debit,active,3000
90327,3713,debit,active,5000
90328,3759,debit,active,1000
90329,857,credit,active,1500
90330,3193,credit,active,1000
90331,1250,credit,active,3000
90332,4913,credit,active,3000
90333,2194,debit,active,3000
90334,2176,credit,active,5000
90335,4303,credit,active,1000
90336,2023,debit,active,3000
90337,2367,debit,active,3000
90338,2462,debit,active,3000
90339,139,debit,active,3000
90340,2873,debit,flagged,5000
90341,373,credit,active,3000
90342,1978,debit,active,500
90343,666,debit,blocked,5000
90344,3327,credit,active,500
90345,1358,credit,active,500
90346,3183,credit,active,1500
90347,3612,credit,flagged,3000
90348,3801,credit,active,3000
90349,4784,credit,active,5000
90350,569,credit,active,1000
90351,3321,debit,active,500
90352,3736,credit,active,500
90353,3642,credit,flagged,1000
90354,3937,credit,active,1500
90355,4879,debit,active,500
90356,3639,debit,active,500
90357,3624,debit,active,3000
90358,427,debit,active,500
90359,1395,debit,active,1500
90360,706,credit,active,5000
90361,3465,credit,active,1000
90362,1912,credit,active,3000
90363,2806,credit,flagged,1000
90364,4650,debit,active,500
90365,1730,debit,active,500
90366,454,credit,active,5000
90367,4781,debit,active,3000
90368,2851,debit,active,500
90369,3913,credit,active,3000
90370,1774,credit,active,1000
90371,2237,credit,active,1000
90372,1607,credit,active,3000
90373,2700,debit,active,1000
90374,3926,credit,active,500
90375,2137,debit,blocked,1000
90376,2241,debit,active,3000
90377,4989,credit,active,500
90378,3527,debit,active,5000
90379,830,credit,active,1500
90380,3789,debit,active,500
90381,3184,debit,active,3000
90382,4813,debit,active,1500
90383,2155,credit,active,1000
90384,4855,credit,active,1500
90385,2685,credit,active,1000
90386,4910,debit,active,1000
90387,3895,debit,active,3000
90388,3257,debit,active,1000
90389,4951,debit,active,5000
90390,1423,credit,flagged,500
90391,393,debit,active,500
90392,454,debit,active,3000
90393,605,credit,active,5000
90394,3766,debit,active,1500
90395,4213,debit,active,500
90396,1893,debit,active,5000
90397,4195,debit,active,1000
90398,4349,credit,active,3000
90399,4694,debit,active,5000
90400,3317,credit,active,1000
90401,603,debit,active,1500
90402,4336,debit,active,3000
90403,2008,credit,active,1500
90404,2597,credit,active,1000
90405,1036,debit,active,5000
90406,4481,debit,active,500
90407,3365,debit,active,5000
90408,3258,credit,active,3000
90409,518,debit,active,1000
90410,1554,credit,active,500
90411,3575,debit,active,1000
90412,2596,debit,active,3000
90413,3560,credit,active,1000
90414,1208,debit,active,500
90415,4683,debit,active,1500
90416,1147,debit,active,3000
90417,3721,debit,active,5000
90418,1970,credit,active,5000
90419,4651,credit,active,1000
90420,1528,credit,active,5000
90421,3396,credit,active,5000
90422,2281,debit,active,3000
90423,4442,credit,active,500
90424,610,credit,active,1000
90425,1809,debit,active,500
90426,4957,debit,active,3000
90427,3924,debit,active,1500
90428,2849,debit,active,3000
90429,1368,credit,active,5000
90430,428,debit,active,5000
90431,803,debit,active,1500
90432,3197,debit,active,500
90433,3379,debit,active,3000
90434,3239,debit,active,1000
90435,2655,credit,active,500
90436,1436,credit,active,5000
90437,4829,credit,active,1000
90438,3731,debit,active,1500
90439,4005,credit,active,500
90440,4623,debit,active,3000
90441,2208,debit,active,3000
90442,1775,credit,flagged,3000
90443,98,debit,active,3000
90444,1216,credit,active,3000
90445,3532,debit,active,1500
90446,4552,credit,active,1000
90447,1682,debit,active,500
90448,4449,debit,active,1000
90449,263,debit,active,1000
90450,2071,debit,active,1000
90451,1404,debit,active,3000
90452,4274,debit,active,3000
90453,1881,credit,flagged,1500
90454,4463,credit,active,500
90455,3867,debit,active,5000
90456,3680,debit,active,1000
90457,4463,credit,active,500
90458,3579,debit,active,3000
90459,1715,credit,active,1000
90460,2681,credit,active,500
90461,151,credit,active,500
90462,4205,debit,active,5000
90463,2097,debit,active,1000
90464,1704,debit,active,3000
90465,88,credit,active,1000
90466,2640,debit,active,5000
90467,1892,debit,active,1000
90468,2226,debit,active,1500
90469,1618,credit,active,1000
90470,4705,debit,flagged,5000
90471,1160,debit,active,500
90472,3405,credit,active,3000
90473,3493,credit,active,3000
90474,2504,debit,active,500
90475,2083,credit,active,1500
90476,527,debit,active,3000
90477,3203,credit,active,500
90478,251,credit,active,1500
90479,4525,debit,active,500
90480,4013,credit,active,5000
90481,3383,debit,active,5000
90482,1062,credit,active,1500
90483,50,credit,active,5000
90484,3342,credit,active,1000
90485,1001,credit,active,1500
90486,3052,debit,active,1000
90487,1091,debit,active,5000
90488,1582,credit,active,1500
90489,1926,credit,active,500
90490,2508,credit,blocked,1000
90491,2785,debit,active,500
90492,873,debit,active,1500
90493,1304,credit,active,3000
90494,1488,credit,active,5000
90495,4524,debit,active,1000
90496,676,credit,active,5000
90497,154,debit,active,1500
90498,4372,debit,active,5000
90499,3858,debit,active,3000
90500,553,credit,active,1000
90501,1459,debit,active,1500
90502,2417,credit,active,1000
90503,371,credit,active,1500
90504,4617,credit,active,3000
90505,4063,debit,active,1000
90506,3680,debit,active,1500
90507,2715,credit,active,1000
90508,3623,credit,active,500
90509,719,credit,active,5000
90510,2922,credit,active,500
90511,894,credit,active,1000
90512,1488,debit,active,1000
90513,3105,credit,active,5000
90514,1604,credit,active,500
90515,1065,debit,active,3000
90516,2301,credit,active,500
90517,2019,credit,active,5000
90518,1038,credit,active,1500
90519,3228,debit,active,1000
90520,1731,credit,active,5000
90521,2890,debit,active,5000
90522,4196,credit,active,500
90523,4474,credit,active,5000
90524,3830,credit,active,500
90525,4657,debit,active,3000
90526,1944,credit,active,5000
90527,4771,credit,active,1500
90528,3790,credit,active,1500
90529,2271,debit,active,500
90530,3702,credit,active,1000
90531,3491,debit,active,1500
90532,2334,debit,active,3000
90533,2906,debit,active,500
90534,2123,debit,active,5000
90535,1715,credit,flagged,5000
90536,444,credit,active,5000
90537,3516,credit,active,1500
90538,3691,debit,active,3000
90539,2703,credit,active,5000
90540,591,credit,active,1500
90541,1787,credit,active,3000
90542,1725,debit,blocked,500
90543,3818,credit,flagged,500
90544,1584,credit,active,500
90545,4030,debit,active,1000
90546,1218,debit,active,5000
90547,2635,credit,active,1000
90548,3349,credit,active,5000
90549,2729,debit,active,1000
90550,713,debit,active,3000
90551,2581,debit,active,1000
90552,2569,credit,active,1500
90553,3691,debit,active,500
90554,1544,debit,flagged,1000
90555,2195,credit,active,1500
90556,3473,credit,active,5000
90557,1991,credit,active,1500
90558,3699,debit,active,1000
90559,302,debit,active,3000
90560,2061,debit,active,1500
90561,2175,credit,active,3000
90562,3209,debit,active,500
90563,4514,debit,active,5000
90564,764,debit,active,500
90565,3429,credit,active,3000
90566,847,debit,active,1000
90567,4433,debit,active,500
90568,2988,credit,active,3000
90569,4567,credit,active,500
90570,2103,credit,active,1500
90571,4757,credit,active,3000
90572,1739,credit,active,3000
90573,4084,credit,active,5000
90574,2553,debit,active,1000
90575,3999,credit,active,1000
90576,4724,debit,active,3000
90577,290,debit,active,1000
90578,3280,credit,active,1000
90579,3475,debit,active,1000
90580,1227,debit,active,1500
90581,2763,debit,active,3000
90582,4961,debit,active,3000
90583,195,debit,flagged,500
90584,1415,debit,active,5000
90585,1711,credit,active,500
90586,3745,credit,active,1000
90587,939,credit,active,500
90588,4516,debit,active,1000
90589,4819,debit,active,1000
90590,4735,credit,active,5000
90591,1202,debit,active,1500
90592,1838,debit,active,1000
90593,1420,credit,active,500
90594,4582,debit,active,5000
90595,1911,credit,active,1500
90596,1490,credit,active,1500
90597,2344,credit,active,5000
90598,4387,credit,active,5000
90599,1191,debit,active,1000
90600,1301,debit,flagged,1000
90601,3453,debit,active,1500
90602,3408,credit,active,5000
90603,2655,debit,active,1500
90604,4023,credit,active,5000
90605,3416,debit,active,1500
90606,3605,debit,active,1500
90607,2807,debit,active,1000
90608,3712,credit,active,3000
90609,4054,credit,active,500
90610,4965,credit,active,3000
90611,3835,credit,active,500
90612,3556,debit,active,5000
90613,4211,credit,flagged,1000
90614,4471,credit,active,5000
90615,503,debit,active,1000
90616,3286,debit,active,3000
90617,2107,debit,active,500
90618,2799,debit,active,500
90619,4227,credit,active,3000
90620,3259,debit,active,500
90621,3289,credit,active,3000
90622,4729,credit,active,1000
90623,3820,debit,active,1000
90624,2151,debit,active,1500
90625,1952,credit,active,1500
90626,682,credit,active,500
90627,4726,debit,flagged,5000
90628,2144,debit,active,500
90629,971,credit,active,5000
90630,3280,credit,active,500
90631,3007,debit,active,3000
90632,848,debit,active,1500
90633,477,credit,active,3000
90634,4489,credit,active,5000
90635,3108,credit,active,1500
90636,3378,debit,active,1500
90637,552,debit,active,5000
90638,5,debit,active,500
90639,870,credit,active,1500
90640,231,debit,active,500
90641,1218,credit,active,5000
90642,3880,debit,active,1000
90643,1439,debit,active,1000
90644,3856,credit,active,5000
90645,3878,credit,active,1500
90646,1885,credit,active,3000
90647,2534,credit,active,1000
90648,2839,debit,active,5000
90649,2113,debit,active,500
90650,3314,credit,active,1000
90651,3612,credit,active,1500
90652,762,debit,active,5000
90653,1883,credit,active,3000
90654,4698,credit,active,500
90655,3087,debit,active,1500
90656,2814,credit,active,3000
90657,2468,debit,active,5000
90658,2444,credit,active,500
90659,2254,credit,active,500
90660,4224,debit,active,1500
90661,4124,credit,active,500
90662,2913,credit,active,1500
90663,220,credit,active,1500
90664,3063,debit,active,3000
90665,4843,debit,active,500
90666,742,debit,active,5000
90667,3047,debit,flagged,1500
90668,3362,credit,active,5000
90669,4538,credit,active,1000
90670,626,debit,active,5000
90671,3376,debit,active,1000
90672,429,credit,active,1000
90673,2253,debit,active,500
90674,1280,debit,active,3000
90675,2169,debit,active,3000
90676,1100,debit,active,1500
90677,2429,debit,active,5000
90678,3968,debit,active,1000
90679,527,credit,active,1500
90680,4988,credit,active,3000
90681,41,credit,active,1000
90682,3733,debit,active,5000
90683,2065,credit,flagged,1000
90684,661,credit,active,3000
90685,1501,credit,active,500
90686,2224,credit,active,5000
90687,1483,credit,active,3000
90688,4125,credit,active,5000
90689,4299,credit,flagged,1500
90690,2402,credit,active,1500
90691,3703,credit,flagged,1000
90692,2275,debit,active,5000
90693,1116,debit,active,500
90694,2690,credit,active,3000
90695,2727,debit,flagged,5000
90696,1711,credit,active,1000
90697,4227,debit,active,1500
90698,4326,credit,active,3000
90699,4949,debit,active,1500
90700,3336,debit,active,500
90701,2951,credit,active,3000
90702,1115,debit,active,1000
90703,509,credit,active,3000
90704,2747,credit,active,1500
90705,1902,debit,active,1000
90706,1070,credit,active,1500
90707,1977,debit,active,3000
90708,1444,credit,active,3000
90709,1327,credit,active,1500
90710,3428,debit,active,500
90711,1066,debit,active,500
90712,4027,debit,active,3000
90713,4421,debit,active,3000
90714,636,credit,active,1500
90715,2841,credit,active,3000
90716,1898,credit,active,1500
90717,655,debit,active,5000
90718,4279,debit,active,500
90719,1404,credit,active,500
90720,2590,credit,active,5000
90721,4309,credit,active,5000
90722,1281,credit,active,500
90723,2690,debit,active,500
90724,1805,debit,active,5000
90725,4551,credit,active,1000
90726,1718,debit,active,1000
90727,3544,credit,active,1500
90728,1039,credit,active,3000
90729,4466,credit,active,5000
90730,2769,debit,active,5000
90731,3791,credit,flagged,1000
90732,1226,debit,active,3000
90733,3677,debit,active,3000
90734,656,debit,active,5000
90735,1865,debit,active,1500
90736,3017,credit,active,3000
90737,1422,debit,flagged,1000
90738,3711,credit,active,500
90739,459,credit,active,1500
90740,4348,credit,active,3000
90741,1789,debit,flagged,3000
90742,1808,debit,active,1500
90743,3672,debit,active,1000
90744,2086,debit,active,1000
90745,2713,credit,active,3000
90746,4270,debit,flagged,3000
90747,3754,debit,active,500
90748,3405,credit,flagged,5000
90749,567,credit,active,3000
90750,2339,credit,active,3000
90751,1908,credit,active,1500
90752,3114,debit,active,1500
90753,4219,credit,active,3000
90754,4092,debit,active,1000
90755,578,debit,active,5000
90756,2706,credit,active,3000
90757,238,debit,active,3000
90758,1325,debit,active,1500
90759,2563,credit,flagged,3000
90760,2250,debit,active,500
90761,4548,credit,active,500
90762,1055,debit,active,1000
90763,4718,debit,active,1000
90764,4134,credit,active,3000
90765,1178,debit,active,3000
90766,4504,debit,active,5000
90767,621,debit,active,500
90768,959,credit,active,1000
90769,3745,credit,active,1000
90770,2672,credit,active,1000
90771,3686,credit,active,3000
90772,581,credit,active,1500
90773,4982,credit,active,1500
90774,3791,credit,active,3000
90775,2791,credit,active,1500
90776,3014,debit,active,1500
90777,1967,credit,active,500
90778,3630,debit,active,1500
90779,2345,debit,active,5000
90780,2827,debit,active,1000
90781,3007,debit,active,500
90782,3713,debit,active,500
90783,3231,credit,active,500
90784,5000,debit,active,1500
90785,4026,credit,active,1500
90786,1221,debit,active,500
90787,1111,credit,active,5000
90788,2147,credit,active,5000
90789,4481,debit,active,500
90790,1545,credit,active,1000
90791,1412,debit,active,1500
90792,2341,debit,active,1000
90793,4774,debit,blocked,3000
90794,1914,credit,active,500
90795,4718,credit,active,500
90796,4520,debit,active,1000
90797,2897,credit,active,5000
90798,4655,debit,active,1500
90799,3920,credit,active,1000
90800,1261,credit,active,500
90801,708,debit,flagged,500
90802,1671,credit,active,1000
90803,2147,credit,active,1000
90804,1756,credit,active,3000
90805,3503,credit,active,3000
90806,1960,credit,active,500
90807,955,debit,active,1000
90808,708,debit,active,1000
90809,324,debit,active,1500
90810,4592,debit,active,5000
90811,4935,debit,active,5000
90812,576,credit,active,1500
90813,2953,debit,active,5000
90814,883,debit,active,500
90815,1778,debit,active,5000
90816,1695,debit,active,1000
90817,1913,credit,active,3000
90818,4007,debit,blocked,500
90819,3968,debit,active,1000
90820,4489,debit,active,5000
90821,3926,credit,active,500
90822,918,debit,active,1000
90823,188,debit,active,1500
90824,4854,credit,active,3000
90825,628,credit,active,3000
90826,3202,credit,active,3000
90827,3718,credit,active,1000
90828,2934,credit,active,500
90829,3092,debit,active,500
90830,1605,credit,flagged,5000
90831,630,debit,active,500
90832,2585,credit,flagged,500
90833,1540,credit,active,1000
90834,496,credit,active,3000
90835,187,debit,active,5000
90836,2302,credit,active,3000
90837,3254,debit,active,1000
90838,2031,debit,active,500
90839,240,credit,active,1500
90840,4284,debit,active,5000
90841,4059,debit,active,500
90842,4583,credit,active,1000
90843,1772,credit,active,500
90844,3328,credit,active,3000
90845,2402,credit,active,5000
90846,4311,debit,active,1000
90847,1994,credit,active,500
90848,4734,credit,active,5000
90849,2663,debit,active,5000
90850,2767,credit,active,500
90851,1734,debit,active,3000
90852,197,debit,active,5000
90853,1353,debit,active,5000
90854,4595,debit,active,3000
90855,1602,credit,active,1000
90856,1191,debit,active,500
90857,2115,debit,active,3000
90858,2983,credit,active,1500
90859,4238,credit,active,1500
90860,805,credit,active,500
90861,1068,debit,active,500
90862,3747,credit,active,1000
90863,4712,credit,active,500
90864,999,credit,active,1500
90865,40,debit,active,1500
90866,2074,debit,active,1000
90867,4457,debit,active,1000
90868,3107,debit,active,5000
90869,3123,debit,active,3000
90870,255,debit,active,500
90871,732,debit,active,500
90872,2727,credit,active,1500
90873,3106,credit,active,1000
90874,3263,debit,active,1500
90875,1897,credit,active,1500
90876,224,debit,active,1500
90877,2579,credit,blocked,5000
90878,2902,credit,active,500
90879,73,debit,blocked,500
90880,760,credit,active,1000
90881,1247,credit,active,1000
90882,4282,credit,active,3000
90883,2188,debit,active,3000
90884,1702,credit,active,1000
90885,4384,credit,active,500
90886,4759,credit,active,3000
90887,176,debit,active,5000
90888,4699,debit,active,1500
90889,272,debit,active,3000
90890,2127,debit,active,5000
90891,2064,credit,active,3000
90892,3797,debit,active,3000
90893,1415,credit,active,1500
90894,4722,credit,active,500
90895,2498,debit,active,1500
90896,2090,credit,active,3000
90897,3505,credit,active,500
90898,3900,credit,active,1000
90899,3889,credit,active,500
90900,99,debit,active,500
90901,3661,debit,active,3000
90902,4752,credit,active,1500
90903,4793,debit,active,500
90904,3353,debit,active,1000
90905,3462,credit,active,5000
90906,4965,credit,active,500
90907,435,debit,active,3000
90908,4557,debit,active,5000
90909,2326,credit,active,500
90910,1962,debit,active,5000
90911,2472,credit,active,1500
90912,1424,debit,active,1500
90913,1227,debit,active,3000
90914,1385,credit,active,3000
90915,4030,debit,active,500
90916,1135,credit,active,3000
90917,2244,credit,flagged,3000
90918,786,debit,active,5000
90919,1065,debit,active,3000
90920,308,credit,active,500
90921,3995,debit,active,3000
90922,977,debit,active,3000
90923,2112,credit,active,500
90924,845,debit,active,5000
90925,3748,credit,active,1000
90926,2474,credit,active,5000
90927,4478,credit,flagged,1000
90928,1976,credit,blocked,3000
90929,2396,credit,active,500
90930,3841,debit,active,1500
90931,1985,debit,active,500
90932,1285,debit,active,5000
90933,253,debit,active,3000
90934,3958,debit,active,3000
90935,3375,debit,active,3000
90936,2954,debit,active,1000
90937,4679,credit,active,3000
90938,2519,credit,active,5000
90939,1095,debit,active,500
90940,114,debit,active,3000
90941,79,debit,active,1000
90942,3993,debit,active,5000
90943,3416,credit,active,5000
90944,1842,debit,active,500
90945,4675,debit,active,1500
90946,4865,debit,active,3000
90947,4029,credit,active,3000
90948,1442,credit,active,3000
90949,2347,credit,active,3000
90950,2595,credit,active,3000
90951,3238,credit,active,500
90952,4900,debit,active,3000
90953,4801,credit,active,5000
90954,2868,debit,active,500
90955,1588,credit,active,1000
90956,1222,debit,active,1000
90957,3254,debit,active,1000
90958,3187,credit,active,1500
90959,3632,debit,active,5000
90960,271,credit,active,1500
90961,322,credit,active,500
90962,3545,credit,active,1000
90963,2227,credit,active,3000
90964,3016,debit,active,5000
90965,1640,credit,active,5000
90966,4863,debit,active,1500
90967,1720,credit,active,3000
90968,4920,debit,active,3000
90969,3560,debit,active,1500
90970,1062,debit,active,1500
90971,3279,debit,active,5000
90972,1892,credit,active,1000
90973,4074,debit,active,5000
90974,1704,debit,active,1000
90975,3863,debit,active,5000
90976,2558,debit,active,1500
90977,279,debit,active,500
90978,2189,debit,active,1000
90979,1015,debit,active,1500
90980,3266,debit,active,3000
90981,4485,debit,active,1000
90982,3604,debit,active,1500
90983,932,credit,flagged,5000
90984,3160,debit,active,3000
90985,2424,credit,active,1500
90986,2517,credit,active,1000
90987,786,credit,active,5000
90988,1823,credit,active,1000
90989,3565,credit,active,1000
90990,1192,credit,active,5000
90991,3512,credit,active,1500
90992,1088,debit,active,5000
90993,312,debit,active,5000
90994,4975,credit,active,5000
90995,1784,debit,active,1500
90996,188,debit,active,5000
90997,4177,credit,active,3000
90998,2830,credit,active,500
90999,1047,credit,active,3000
91000,3559,credit,active,500
91001,3304,credit,active,1500
91002,4049,credit,active,1500
91003,4656,credit,active,5000
91004,4781,credit,active,500
91005,8,debit,active,1000
91006,2543,debit,active,3000
91007,1384,debit,active,1500
91008,4637,credit,active,3000
91009,2417,debit,active,3000
91010,1867,credit,active,5000
91011,2368,debit,active,5000
91012,2850,credit,active,1500
91013,3398,credit,active,1500
91014,1626,debit,active,5000
91015,4019,debit,active,1000
