transaction_id,customer_id,card_id,merchant_id,amount,currency,country,transaction_time,channel,device_id,is_foreign_country,is_night_transaction,risk_score,status,fraud_label
39,341,90232,279,93.43,EUR,Netherlands,2026-02-10 19:29:36,pos,DEV_341_1,0,0,25,APPROVED,0
41,3310,93773,158,107.01,EUR,United Kingdom,2026-06-07 18:39:56,online,DEV_3310_2,1,0,30,APPROVED,0
44,2764,95205,271,93.27,EUR,Austria,2026-02-18 07:52:45,online,DEV_2764_1,0,0,0,APPROVED,0
45,1824,93722,377,85.52,EUR,Austria,2026-01-07 07:08:57,online,DEV_1824_1,0,0,0,APPROVED,0
46,1920,95239,327,247.67,EUR,Austria,2026-01-10 10:09:09,pos,DEV_1920_1,0,0,40,REVIEW,0
47,1614,91409,405,29.89,EUR,Germany,2026-06-22 13:04:06,pos,DEV_1614_3,0,0,0,APPROVED,0
49,1976,94273,391,271.61,EUR,Belgium,2026-05-22 20:24:28,pos,DEV_1976_2,0,0,0,APPROVED,0
50,4371,90253,126,168.51,EUR,Germany,2026-03-26 18:19:16,pos,DEV_4371_2,0,0,0,APPROVED,0
52,4170,91926,174,58.91,EUR,Poland,2026-03-21 06:43:54,online,DEV_4170_1,0,0,25,APPROVED,0
53,4564,95643,153,376.09,EUR,Italy,2026-06-01 20:05:04,online,DEV_4564_1,0,0,10,APPROVED,0
54,1708,95580,389,1822.23,EUR,Netherlands,2026-05-29 01:35:07,atm,DEV_NEW_188257,1,1,60,REVIEW,1
56,3589,94784,128,30.37,EUR,Belgium,2026-05-27 20:03:55,pos,DEV_3589_2,1,0,30,APPROVED,0
58,2318,93438,434,105.96,EUR,Spain,2026-02-06 23:33:17,pos,DEV_2318_1,0,0,10,APPROVED,0
59,2161,93263,408,20.55,EUR,Netherlands,2026-01-15 19:47:33,pos,DEV_2161_2,0,0,0,APPROVED,0
61,940,91602,120,98.89,EUR,United Kingdom,2026-03-17 16:02:15,pos,DEV_940_3,0,0,0,APPROVED,0
62,3899,92073,475,390.09,EUR,Romania,2026-04-03 09:13:33,pos,DEV_3899_1,0,0,20,APPROVED,0
63,2867,93076,411,45.48,EUR,Netherlands,2026-04-22 09:52:32,online,DEV_2867_2,0,0,10,APPROVED,0
64,2251,95334,55,57.64,EUR,United Kingdom,2026-06-04 09:06:21,pos,DEV_2251_1,0,0,0,APPROVED,0
66,2793,91384,430,196.25,EUR,France,2026-01-12 07:12:49,online,DEV_2793_2,1,0,45,REVIEW,0
67,3037,93957,456,70.07,EUR,France,2026-03-11 22:34:07,pos,DEV_3037_1,0,0,10,APPROVED,0
68,1152,95138,173,156.29,EUR,Netherlands,2026-04-26 18:25:35,online,DEV_1152_1,0,0,10,APPROVED,0
69,4777,94297,238,447.76,EUR,Poland,2026-04-28 20:34:04,pos,DEV_4777_3,0,0,25,APPROVED,0
70,1629,91241,158,239.7,EUR,Spain,2026-03-07 08:14:00,online,DEV_1629_3,0,0,50,REVIEW,0
72,251,90478,265,24.05,EUR,France,2026-03-21 15:56:54,pos,DEV_251_1,0,0,0,APPROVED,0
73,757,93605,378,45.91,EUR,Spain,2026-03-17 20:50:20,pos,DEV_757_3,0,0,10,APPROVED,0
76,1811,91386,297,76.66,EUR,Italy,2026-06-05 20:15:17,online,DEV_1811_3,1,0,30,APPROVED,0
77,2947,95986,32,157.8,EUR,Romania,2026-01-07 12:49:24,pos,DEV_2947_1,0,0,0,APPROVED,0
78,3197,90432,245,436.68,EUR,France,2026-05-23 22:17:54,online,DEV_NEW_521461,1,0,65,REVIEW,1
79,3390,91259,408,160.95,EUR,Spain,2026-05-06 06:33:19,pos,DEV_3390_3,0,0,0,APPROVED,0
80,4287,94312,263,60.9,EUR,United Kingdom,2026-03-07 13:20:23,pos,DEV_4287_2,0,0,25,APPROVED,0
81,3604,90982,436,126.7,EUR,United Kingdom,2026-02-20 13:25:09,pos,DEV_3604_2,0,0,10,APPROVED,0
82,210,92636,209,626.3,EUR,Belgium,2026-06-29 04:55:12,atm,DEV_NEW_600242,1,1,60,REVIEW,1
83,560,91088,33,461.6,EUR,United Kingdom,2026-04-23 22:06:44,pos,DEV_560_1,0,0,25,APPROVED,0
84,4470,95001,403,59.76,EUR,Netherlands,2026-01-14 14:30:02,pos,DEV_4470_3,0,0,10,APPROVED,0
86,3741,95936,424,40.5,EUR,United Kingdom,2026-03-13 17:43:27,online,DEV_3741_3,0,0,10,APPROVED,0
87,2585,90832,200,49.73,EUR,Poland,2026-02-05 09:59:31,atm,DEV_2585_1,0,0,50,REVIEW,0
89,857,90329,355,162.1,EUR,Netherlands,2026-06-11 17:51:11,pos,DEV_857_2,0,0,10,APPROVED,0
90,3353,90904,186,43.06,EUR,Romania,2026-03-02 08:22:55,online,DEV_3353_3,0,0,0,APPROVED,0
92,4205,90462,275,294.0,EUR,Belgium,2026-01-03 22:13:17,pos,DEV_4205_1,0,0,25,APPROVED,0
93,1189,91853,304,102.93,EUR,France,2026-06-26 12:00:04,online,DEV_1189_1,0,0,10,APPROVED,0
94,1970,90418,462,311.38,EUR,Romania,2026-03-05 06:59:52,online,DEV_1970_1,0,0,10,APPROVED,0
96,2824,91671,427,175.07,EUR,Germany,2026-01-11 06:27:21,online,DEV_2824_2,0,0,0,APPROVED,0
98,1213,95920,231,64.81,EUR,Romania,2026-06-24 16:47:38,pos,DEV_1213_1,0,0,0,APPROVED,0
101,2222,93278,99,1287.86,EUR,Romania,2026-05-14 09:56:17,pos,DEV_2222_1,0,0,20,APPROVED,0
103,4431,92638,195,259.75,EUR,Spain,2026-06-21 12:56:04,online,DEV_4431_2,0,0,0,APPROVED,0
104,3731,95242,235,129.08,EUR,Italy,2026-01-26 11:54:17,pos,DEV_3731_3,0,0,0,APPROVED,0
105,4426,95852,474,67.68,EUR,Austria,2026-04-24 10:02:23,online,DEV_4426_1,0,0,0,APPROVED,0
107,4369,93113,173,48.26,EUR,Spain,2026-01-21 15:47:51,pos,DEV_4369_3,0,0,10,APPROVED,0
109,4366,95030,227,147.15,EUR,Netherlands,2026-01-29 09:12:33,online,DEV_4366_3,0,0,0,APPROVED,0
110,3779,92939,225,1517.89,EUR,Austria,2026-03-12 11:52:42,online,DEV_3779_1,0,0,35,APPROVED,0
113,1736,93155,280,191.27,EUR,France,2026-05-17 18:43:46,online,DEV_1736_2,0,0,25,APPROVED,0
114,1606,95659,431,78.43,EUR,Italy,2026-03-01 11:32:42,pos,DEV_1606_1,0,0,0,APPROVED,0
115,4674,93311,124,102.52,EUR,Italy,2026-02-15 22:47:02,online,DEV_4674_1,0,0,0,APPROVED,0
116,4865,94076,152,114.36,EUR,Belgium,2026-02-18 20:50:57,pos,DEV_4865_3,0,0,0,APPROVED,0
117,3869,93570,294,214.8,EUR,United Kingdom,2026-04-12 22:26:04,pos,DEV_3869_2,0,0,10,APPROVED,0
118,3813,94992,306,15.12,EUR,Poland,2026-03-23 17:44:25,online,DEV_3813_1,0,0,0,APPROVED,0
119,1090,94339,30,186.39,EUR,Italy,2026-06-01 22:21:23,online,DEV_1090_2,0,0,0,APPROVED,0
120,191,91030,412,90.07,EUR,Poland,2026-06-24 19:02:58,pos,DEV_191_2,0,0,0,APPROVED,0
122,3677,90733,255,33.47,EUR,Italy,2026-05-26 09:52:58,pos,DEV_3677_3,0,0,0,APPROVED,0
123,4599,92786,289,35.69,EUR,United Kingdom,2026-04-11 13:47:01,pos,DEV_4599_3,0,0,10,APPROVED,0
124,3739,93540,3,15.4,EUR,Spain,2026-02-28 12:29:57,pos,DEV_3739_1,0,0,65,REVIEW,0
125,3946,90010,216,187.11,EUR,Netherlands,2026-02-22 18:17:07,pos,DEV_3946_2,0,0,10,APPROVED,0
126,2405,95910,80,200.32,EUR,Romania,2026-04-23 23:30:55,pos,DEV_2405_2,0,0,0,APPROVED,0
127,2342,94724,407,113.4,EUR,Romania,2026-01-23 18:37:11,pos,DEV_2342_2,0,0,0,APPROVED,0
128,2270,92672,230,112.1,EUR,Belgium,2026-04-13 23:09:11,atm,DEV_2270_1,0,0,10,APPROVED,0
130,4019,91015,168,167.04,EUR,Italy,2026-01-18 13:18:35,online,DEV_4019_3,0,0,10,APPROVED,0
131,3920,90799,226,583.04,EUR,Spain,2026-02-19 08:33:34,atm,DEV_3920_1,0,0,0,APPROVED,0
132,3595,92976,255,170.22,EUR,Austria,2026-05-14 19:24:28,pos,DEV_3595_3,0,0,0,APPROVED,0
135,76,92564,352,170.42,EUR,Netherlands,2026-01-18 15:13:16,online,DEV_76_1,0,0,25,APPROVED,0
136,3334,92212,48,83.37,EUR,United Kingdom,2026-01-17 17:57:04,online,DEV_3334_1,0,0,10,APPROVED,0
137,1913,90817,322,38.46,EUR,Austria,2026-04-21 23:32:27,pos,DEV_1913_3,0,0,0,APPROVED,0
139,886,92951,224,311.07,EUR,Austria,2026-04-17 17:02:06,pos,DEV_886_3,0,0,10,APPROVED,0
140,2743,91269,355,14.09,EUR,Netherlands,2026-04-06 10:09:44,online,DEV_2743_2,0,0,10,APPROVED,0
141,4925,92805,368,105.7,EUR,Spain,2026-02-05 09:52:11,online,DEV_4925_1,1,0,20,APPROVED,0
142,1304,94382,367,25.76,EUR,Austria,2026-03-13 07:33:03,online,DEV_1304_3,0,0,10,APPROVED,0
143,262,95872,227,66.19,EUR,France,2026-06-15 21:09:35,online,DEV_262_3,0,0,0,APPROVED,0
144,1479,90109,453,67.07,EUR,Italy,2026-03-09 13:33:15,online,DEV_1479_3,0,0,0,APPROVED,0
146,4814,93224,269,174.18,EUR,Italy,2026-03-11 20:27:09,pos,DEV_4814_3,0,0,0,APPROVED,0
147,3885,92889,462,100.06,EUR,United Kingdom,2026-05-15 15:22:36,online,DEV_3885_3,0,0,10,APPROVED,0
149,239,94515,195,451.38,EUR,Belgium,2026-04-17 22:59:54,online,DEV_239_1,0,0,0,APPROVED,0
150,3488,92271,208,55.19,EUR,Romania,2026-03-10 23:24:58,pos,DEV_3488_2,1,0,20,APPROVED,0
153,1166,94134,408,261.89,EUR,United Kingdom,2026-06-25 20:52:02,online,DEV_1166_1,1,0,20,APPROVED,0
154,4825,92495,351,352.59,EUR,Germany,2026-02-05 08:43:32,online,DEV_4825_1,1,0,30,APPROVED,0
157,1723,95170,261,32.2,EUR,Germany,2026-05-06 16:00:49,online,DEV_1723_1,0,0,0,APPROVED,0
158,4403,95682,256,42.92,EUR,France,2026-04-21 12:30:15,online,DEV_4403_3,0,0,0,APPROVED,0
159,2351,94161,261,80.87,EUR,Spain,2026-04-19 14:40:14,pos,DEV_2351_2,0,0,0,APPROVED,0
160,636,90714,419,77.0,EUR,Spain,2026-03-07 23:28:45,pos,DEV_636_2,1,0,20,APPROVED,0
161,3561,93831,121,113.8,EUR,Austria,2026-03-13 08:38:39,pos,DEV_3561_3,0,0,10,APPROVED,0
162,3438,92829,77,45.17,EUR,Belgium,2026-05-09 08:39:33,online,DEV_3438_2,0,0,0,APPROVED,0
163,1602,95655,316,60.69,EUR,Germany,2026-04-30 14:42:26,online,DEV_1602_2,0,0,0,APPROVED,0
164,3691,90538,235,213.23,EUR,Germany,2026-03-29 15:47:52,online,DEV_3691_3,0,0,0,APPROVED,0
166,2670,92935,36,215.61,EUR,France,2026-02-23 19:43:02,pos,DEV_2670_2,0,0,10,APPROVED,0
167,1070,90706,81,34.59,EUR,Spain,2026-03-13 19:33:18,pos,DEV_1070_3,0,0,10,APPROVED,0
168,3041,91304,363,18.51,EUR,United Kingdom,2026-05-09 17:30:08,pos,DEV_3041_2,0,0,0,APPROVED,0
169,3097,92549,349,209.27,EUR,Italy,2026-06-05 11:24:19,pos,DEV_3097_1,0,0,0,APPROVED,0
170,1510,95474,382,700.33,EUR,Poland,2026-05-21 02:31:15,pos,DEV_NEW_641373,1,1,60,REVIEW,1
171,3562,95018,479,145.6,EUR,Austria,2026-06-09 21:37:45,online,DEV_3562_3,0,0,0,APPROVED,0
172,22,92184,289,1133.61,EUR,Netherlands,2026-02-18 13:21:50,online,DEV_22_1,0,0,20,APPROVED,0
173,219,94489,38,131.14,EUR,Germany,2026-05-18 07:11:08,atm,DEV_219_1,0,0,0,APPROVED,0
174,452,92742,121,285.8,EUR,Belgium,2026-05-16 17:33:01,online,DEV_452_1,0,0,20,APPROVED,0
176,3479,91724,37,61.1,EUR,Spain,2026-02-16 15:51:29,pos,DEV_3479_3,0,0,10,APPROVED,0
177,2888,93523,394,271.98,EUR,Austria,2026-04-14 18:33:40,online,DEV_2888_1,0,0,10,APPROVED,0
178,4118,91330,237,128.96,EUR,Romania,2026-03-03 12:03:09,online,DEV_4118_1,0,0,40,REVIEW,0
179,2502,93756,8,319.33,EUR,Germany,2026-06-26 20:43:22,pos,DEV_2502_1,0,0,25,APPROVED,0
180,1266,91335,469,275.11,EUR,Italy,2026-03-22 14:57:19,pos,DEV_1266_3,0,0,0,APPROVED,0
181,3126,94281,194,53.04,EUR,Poland,2026-05-10 09:00:01,online,DEV_3126_3,0,0,40,REVIEW,0
182,42,91022,429,47.17,EUR,Romania,2026-01-25 20:48:30,pos,DEV_42_2,0,0,25,APPROVED,0
183,1969,92692,98,23.31,EUR,United Kingdom,2026-06-14 13:09:55,pos,DEV_1969_1,0,0,0,APPROVED,0
185,1928,95035,169,105.79,EUR,Belgium,2026-04-18 18:05:02,online,DEV_1928_3,0,0,10,APPROVED,0
187,293,92020,455,33.85,EUR,Belgium,2026-03-10 18:38:48,online,DEV_293_3,0,0,0,APPROVED,0
188,1956,94936,321,55.54,EUR,Italy,2026-04-12 08:41:43,online,DEV_1956_1,0,0,0,APPROVED,0
189,3186,93009,45,104.43,EUR,Spain,2026-05-09 22:23:31,online,DEV_3186_1,0,0,0,APPROVED,0
190,2773,92402,169,197.33,EUR,Poland,2026-02-04 13:31:03,pos,DEV_2773_3,0,0,50,REVIEW,0
192,2301,90516,132,260.05,EUR,Italy,2026-03-04 12:23:45,pos,DEV_2301_1,0,0,25,APPROVED,0
193,2444,90658,282,24.26,EUR,Italy,2026-04-27 18:04:30,pos,DEV_2444_2,0,0,25,APPROVED,0
194,3677,90733,118,79.5,EUR,Italy,2026-01-12 19:18:50,online,DEV_3677_2,0,0,0,APPROVED,0
195,4629,92908,43,406.52,EUR,Romania,2026-02-12 23:41:30,online,DEV_4629_2,0,0,35,APPROVED,0
196,3833,94912,215,225.3,EUR,Poland,2026-03-18 06:32:27,online,DEV_3833_1,0,0,0,APPROVED,0
197,3181,94455,313,219.04,EUR,Spain,2026-02-03 23:45:01,online,DEV_3181_3,0,0,0,APPROVED,0
198,3939,91176,258,164.06,EUR,Austria,2026-02-27 06:44:24,pos,DEV_3939_2,0,0,25,APPROVED,0
201,2146,92624,257,59.96,EUR,Poland,2026-03-23 18:25:34,online,DEV_2146_2,0,0,0,APPROVED,0
204,2051,94375,338,137.36,EUR,Austria,2026-05-26 11:42:09,online,DEV_2051_2,1,0,45,REVIEW,0
205,2772,91941,271,15.47,EUR,Spain,2026-06-29 17:35:49,pos,DEV_2772_3,0,0,0,APPROVED,0
206,3769,95646,208,69.33,EUR,Austria,2026-05-10 09:22:53,pos,DEV_3769_1,0,0,0,APPROVED,0
207,1905,93329,286,63.55,EUR,France,2026-04-26 11:32:50,online,DEV_1905_1,1,0,30,APPROVED,0
208,1718,91727,25,72.99,EUR,Germany,2026-01-23 22:42:30,online,DEV_1718_3,0,0,50,REVIEW,0
209,705,94959,232,94.96,EUR,Belgium,2026-02-26 11:04:31,online,DEV_705_2,0,0,10,APPROVED,0
212,3728,91320,55,52.65,EUR,Romania,2026-01-08 22:56:52,online,DEV_3728_1,0,0,0,APPROVED,0
214,1866,91140,31,445.88,EUR,Belgium,2026-01-05 14:58:00,pos,DEV_1866_3,0,0,10,APPROVED,0
216,768,94179,428,45.1,EUR,Poland,2026-05-29 23:29:49,pos,DEV_768_1,0,0,0,APPROVED,0
217,4031,94101,137,524.65,EUR,Austria,2026-03-21 16:35:36,online,DEV_4031_3,1,0,55,REVIEW,0
218,809,94528,463,1090.12,EUR,Germany,2026-04-24 18:31:56,pos,DEV_809_3,0,0,10,APPROVED,0
219,365,94667,493,36.63,EUR,Netherlands,2026-06-22 09:48:00,pos,DEV_365_3,0,0,0,APPROVED,0
220,4186,94195,115,161.68,EUR,Romania,2026-06-12 09:24:34,pos,DEV_4186_3,0,0,0,APPROVED,0
221,578,90755,194,120.41,EUR,Austria,2026-04-26 11:01:43,pos,DEV_578_2,0,0,0,APPROVED,0
223,3477,94451,402,41.64,EUR,Netherlands,2026-04-26 19:42:20,online,DEV_3477_3,1,0,20,APPROVED,0
225,3801,92575,223,38.19,EUR,Netherlands,2026-04-16 20:08:12,online,DEV_3801_3,0,0,0,APPROVED,0
226,2034,93453,121,65.64,EUR,Romania,2026-02-14 15:31:35,pos,DEV_2034_3,0,0,10,APPROVED,0
228,3313,94857,230,48.34,EUR,Romania,2026-01-01 17:47:48,online,DEV_3313_2,1,0,30,APPROVED,0
229,2945,93180,42,67.91,EUR,United Kingdom,2026-03-27 13:51:28,online,DEV_2945_3,0,0,10,APPROVED,0
230,4592,90810,410,132.66,EUR,Italy,2026-03-27 11:25:39,pos,DEV_4592_2,1,0,45,REVIEW,0
232,452,92742,256,133.84,EUR,Belgium,2026-06-03 08:00:26,pos,DEV_452_3,0,0,10,APPROVED,0
233,1044,92440,351,13.5,EUR,Austria,2026-05-25 15:19:57,online,DEV_1044_1,0,0,0,APPROVED,0
234,3721,90315,327,95.38,EUR,Belgium,2026-04-23 21:18:39,online,DEV_3721_3,0,0,0,APPROVED,0
235,4329,92079,162,104.9,EUR,France,2026-01-13 17:16:06,pos,DEV_4329_3,0,0,25,APPROVED,0
236,3421,90238,324,154.78,EUR,Austria,2026-06-05 11:10:35,online,DEV_3421_3,1,0,20,APPROVED,0
237,4035,91075,43,185.25,EUR,United Kingdom,2026-01-17 18:55:39,online,DEV_4035_1,0,0,25,APPROVED,0
238,628,90825,61,25.89,EUR,Italy,2026-05-02 11:58:33,pos,DEV_628_1,0,0,0,APPROVED,0
239,4983,92334,77,50.59,EUR,Spain,2026-02-18 18:24:06,online,DEV_4983_1,0,0,0,APPROVED,0
245,3953,91585,467,102.09,EUR,Spain,2026-03-05 16:59:21,online,DEV_3953_1,0,0,0,APPROVED,0
246,2984,95480,39,201.61,EUR,Germany,2026-04-14 08:01:44,online,DEV_2984_2,0,0,25,APPROVED,0
247,1609,94685,103,74.02,EUR,Netherlands,2026-03-17 16:13:20,online,DEV_1609_2,0,0,0,APPROVED,0
248,1470,95786,434,51.22,EUR,United Kingdom,2026-04-29 17:51:25,online,DEV_1470_2,0,0,10,APPROVED,0
249,3565,94492,433,427.7,EUR,Austria,2026-03-09 09:19:50,pos,DEV_3565_1,0,0,25,APPROVED,0
250,2804,93615,141,30.53,EUR,Spain,2026-02-25 08:58:01,pos,DEV_2804_2,0,0,0,APPROVED,0
251,4676,91620,343,213.76,EUR,Spain,2026-02-23 14:09:38,online,DEV_4676_2,0,0,25,APPROVED,0
253,3310,93773,51,37.11,EUR,Germany,2026-05-30 07:55:11,online,DEV_3310_3,0,0,10,APPROVED,0
254,3517,94458,386,156.46,EUR,Belgium,2026-06-15 23:23:03,online,DEV_3517_1,0,0,10,APPROVED,0
256,779,93223,440,260.3,EUR,Netherlands,2026-02-26 18:55:35,online,DEV_779_3,0,0,0,APPROVED,0
257,3511,90268,251,45.92,EUR,Belgium,2026-01-28 15:32:49,atm,DEV_3511_3,0,0,10,APPROVED,0
258,1736,93155,453,48.99,EUR,France,2026-06-09 09:17:23,pos,DEV_1736_3,0,0,0,APPROVED,0
259,950,91071,253,121.14,EUR,Belgium,2026-01-22 19:30:09,online,DEV_950_3,0,0,0,APPROVED,0
260,1224,90146,117,309.41,EUR,Netherlands,2026-04-06 12:22:27,online,DEV_1224_1,0,0,0,APPROVED,0
261,1373,92337,369,20.02,EUR,Poland,2026-06-27 06:36:16,pos,DEV_1373_3,0,0,25,APPROVED,0
262,849,93348,407,47.24,EUR,Spain,2026-02-14 23:34:41,pos,DEV_849_3,0,0,0,APPROVED,0
263,1054,95013,147,68.82,EUR,United Kingdom,2026-01-02 18:33:27,online,DEV_1054_2,0,0,0,APPROVED,0
264,2334,94284,444,288.66,EUR,Austria,2026-02-25 10:08:16,atm,DEV_2334_1,0,0,25,APPROVED,0
265,1301,90600,103,203.55,EUR,Netherlands,2026-01-27 08:21:08,online,DEV_1301_2,0,0,40,REVIEW,0
267,3975,94280,245,18.8,EUR,Poland,2026-02-24 08:17:04,online,DEV_3975_2,0,0,0,APPROVED,0
268,29,94727,235,103.97,EUR,Spain,2026-02-25 16:37:15,online,DEV_29_2,0,0,0,APPROVED,0
269,1051,95139,154,159.55,EUR,Poland,2026-04-05 17:58:00,online,DEV_1051_3,0,0,0,APPROVED,0
270,4507,94547,248,172.73,EUR,Italy,2026-03-24 23:28:01,pos,DEV_4507_3,0,0,0,APPROVED,0
271,3506,93759,92,155.7,EUR,Netherlands,2026-02-19 11:53:28,online,DEV_3506_2,0,0,0,APPROVED,0
272,3634,91771,133,238.17,EUR,United Kingdom,2026-04-20 22:22:11,online,DEV_3634_1,0,0,25,APPROVED,0
273,4251,90162,3,111.12,EUR,Romania,2026-02-14 23:46:30,pos,DEV_4251_3,0,0,25,APPROVED,0
274,4115,91160,305,83.31,EUR,Germany,2026-01-30 10:41:45,online,DEV_4115_3,1,0,20,APPROVED,0
276,2243,95101,101,133.54,EUR,United Kingdom,2026-05-06 12:08:37,online,DEV_2243_1,0,0,0,APPROVED,0
279,1373,92337,45,226.62,EUR,Germany,2026-02-04 02:53:29,online,DEV_NEW_688703,1,1,75,BLOCKED,1
281,4675,92428,461,94.56,EUR,Italy,2026-04-21 14:14:11,pos,DEV_4675_1,0,0,10,APPROVED,0
282,1399,95708,26,344.18,EUR,Austria,2026-05-17 07:31:06,online,DEV_1399_2,0,0,0,APPROVED,0
283,2844,94938,459,258.09,EUR,Belgium,2026-05-30 22:52:36,pos,DEV_2844_3,0,0,25,APPROVED,0
284,1325,90758,278,657.62,EUR,Germany,2026-04-17 10:02:01,pos,DEV_1325_3,0,0,0,APPROVED,0
285,4691,94476,320,233.79,EUR,Romania,2026-01-29 09:37:57,online,DEV_4691_2,0,0,0,APPROVED,0
286,512,93890,208,162.53,EUR,Netherlands,2026-06-22 10:49:01,pos,DEV_512_3,0,0,0,APPROVED,0
287,866,92678,162,39.49,EUR,Austria,2026-06-28 12:36:59,online,DEV_866_1,0,0,25,APPROVED,0
289,4432,95228,322,101.55,EUR,Belgium,2026-03-24 16:05:50,pos,DEV_4432_3,0,0,0,APPROVED,0
290,4764,92452,225,155.48,EUR,Spain,2026-06-14 08:47:58,pos,DEV_4764_1,0,0,25,APPROVED,0
291,386,95221,188,56.24,EUR,Spain,2026-02-15 10:17:00,online,DEV_386_2,1,0,30,APPROVED,0
292,2773,92402,191,266.62,EUR,Poland,2026-06-18 19:17:42,online,DEV_2773_1,0,0,40,REVIEW,0
293,1813,94064,29,22.48,EUR,Poland,2026-05-14 09:39:51,online,DEV_1813_3,0,0,0,APPROVED,0
294,2769,94061,306,33.59,EUR,Italy,2026-03-27 18:30:13,online,DEV_2769_3,0,0,0,APPROVED,0
296,3227,92061,217,118.08,EUR,Austria,2026-01-01 20:05:36,pos,DEV_3227_1,0,0,0,APPROVED,0
297,4480,95077,456,51.82,EUR,Germany,2026-03-02 11:24:22,online,DEV_4480_2,0,0,10,APPROVED,0
298,2176,90334,42,181.72,EUR,Spain,2026-03-26 21:04:28,pos,DEV_2176_3,0,0,10,APPROVED,0
299,4900,90952,178,89.08,EUR,Romania,2026-03-11 07:38:45,pos,DEV_4900_1,0,0,10,APPROVED,0
302,4870,93035,15,32.71,EUR,Romania,2026-01-09 07:26:37,pos,DEV_4870_1,0,0,0,APPROVED,0
303,2670,92935,314,160.52,EUR,France,2026-05-31 12:24:51,online,DEV_2670_2,0,0,10,APPROVED,0
304,3153,93513,9,111.85,EUR,Poland,2026-05-25 20:36:01,online,DEV_3153_2,0,0,0,APPROVED,0
307,169,93816,31,12.66,EUR,Germany,2026-03-25 18:10:53,online,DEV_169_1,0,0,10,APPROVED,0
308,209,95971,196,95.63,EUR,Austria,2026-05-17 17:38:12,pos,DEV_209_3,0,0,0,APPROVED,0
310,4303,94988,445,99.68,EUR,United Kingdom,2026-05-11 13:50:09,online,DEV_4303_2,0,0,25,APPROVED,0
